content_raw,content_clean,account_type,account_category,source_file,provisional_label,keyword_hits,strong_hits,medium_hits,reject_hits,match_score,final_label,review_decision,review_notes
USDA awards first manufacturing contracts for bird flu vaccine stockpile  #health,USDA awards first manufacturing contracts for bird flu vaccine stockpile #health,news,NewsFeed,IRAhandle_tweets_6.csv,Society & Health,"['\\bhealth\\b', '\\bflu\\b', '\\bvaccine\\b']","['\\bhealth\\b', '\\bflu\\b', '\\bvaccine\\b']",[],[],30,,,
Video: Gilroy parent speak at school board meeting about high school science teacher charged with enticing students https://t.co/VtfDlQjprO,Video: Gilroy parent speak at school board meeting about high school science teacher charged with enticing students,local,NewsFeed,IRAhandle_tweets_2.csv,Society & Health,"['\\bschool\\b', '\\bstudents\\b', '\\bteacher\\b']","['\\bschool\\b', '\\bstudents\\b', '\\bteacher\\b']",[],[],30,,,
"When this teacher, Ms. Bishop told one of her students at Lakeview Elementary in Sugar Land that she loved her hair and the little girl didn’t believe her. The next day, the teacher came to school with her hair done the same as her student so cute! https://t.co/LUZrNpRHy0","When this teacher, Ms. Bishop told one of her students at Lakeview Elementary in Sugar Land that she loved her hair and the little girl didn’t believe her. The next day, the teacher came to school with her hair done the same as her student so cute!",left,LeftTroll,IRAhandle_tweets_4.csv,Society & Health,"['\\bschool\\b', '\\bstudent\\b', '\\bstudents\\b', '\\bteacher\\b']","['\\bschool\\b', '\\bstudent\\b', '\\bstudents\\b', '\\bteacher\\b']",[],[],40,,,
Family and friends celebrate the life of Seaman High School student killed in accident https://t.co/kr777qJMrY #news,Family and friends celebrate the life of Seaman High School student killed in accident #news,local,NewsFeed,IRAhandle_tweets_4.csv,Society & Health,"['\\bschool\\b', '\\bstudent\\b', '\\bfamily\\b']","['\\bschool\\b', '\\bstudent\\b', '\\bfamily\\b']",[],[],30,,,
This High School Teacher Gave His Students An Assignment To Defend The Holocaust. Seriously. https://t.co/QCVatH44En https://t.co/RfzlCRMUHI,This High School Teacher Gave His Students An Assignment To Defend The Holocaust. Seriously.,Right,RightTroll,IRAhandle_tweets_4.csv,Society & Health,"['\\bschool\\b', '\\bstudents\\b', '\\bteacher\\b']","['\\bschool\\b', '\\bstudents\\b', '\\bteacher\\b']",[],[],30,,,
"HISD Teachers give school credit to students who attend anti @Potus rallies, unacceptable &amp; illegal @GregAbbott_TX https://t.co/Ml4DRUaf3s https://t.co/62erUt5uLc","HISD Teachers give school credit to students who attend anti rallies, unacceptable and illegal",Right,RightTroll,IRAhandle_tweets_4.csv,Society & Health,"['\\bschool\\b', '\\bstudents\\b', '\\bteachers\\b']","['\\bschool\\b', '\\bstudents\\b', '\\bteachers\\b']",[],[],30,,,
White students at a south Mississippi high school put a noose around the neck of a black student and yanked backward  https://t.co/Yuu834BDio https://t.co/BW9RHgtQlf,White students at a south Mississippi high school put a noose around the neck of a black student and yanked backward,left,LeftTroll,IRAhandle_tweets_2.csv,Society & Health,"['\\bschool\\b', '\\bstudent\\b', '\\bstudents\\b']","['\\bschool\\b', '\\bstudent\\b', '\\bstudents\\b']",[],[],30,,,
"Southern Indiana school tests students, teachers for TB  #health","Southern Indiana school tests students, teachers for TB #health",Right,RightTroll,IRAhandle_tweets_2.csv,Society & Health,"['\\bhealth\\b', '\\bschool\\b', '\\bstudents\\b', '\\bteachers\\b']","['\\bhealth\\b', '\\bschool\\b', '\\bstudents\\b', '\\bteachers\\b']",[],[],40,,,
Special education teacher at Sachse middle school faces indecency with a child charge https://t.co/pSSq9IdAzo,Special education teacher at Sachse middle school faces indecency with a child charge,local,NewsFeed,IRAhandle_tweets_3.csv,Society & Health,"['\\bschool\\b', '\\bteacher\\b', '\\beducation\\b']","['\\bschool\\b', '\\bteacher\\b', '\\beducation\\b']",[],[],30,,,
Suburban LA students to switch schools after gas leak  #health,Suburban LA students to switch schools after gas leak #health,local,NewsFeed,IRAhandle_tweets_4.csv,Society & Health,"['\\bhealth\\b', '\\bschools\\b', '\\bstudents\\b']","['\\bhealth\\b', '\\bschools\\b', '\\bstudents\\b']",[],[],30,,,
"�� Education Bills Solidify Federal Control of Schools, Children http://t.co/0abf1wuGNG","�� Education Bills Solidify Federal Control of Schools, Children",Right,RightTroll,IRAhandle_tweets_1.csv,Society & Health,"['\\bschools\\b', '\\beducation\\b', '\\bchildren\\b']","['\\bschools\\b', '\\beducation\\b', '\\bchildren\\b']",[],[],30,,,
All the feels: Teachers and students at a school in Puerto Rico jump for joy after the school gets electricity back for the first time in 112 days since Hurricane Maria struck. https://t.co/oxt4U3Wtbz,All the feels: Teachers and students at a school in Puerto Rico jump for joy after the school gets electricity back for the first time in 112 days since Hurricane Maria struck.,left,LeftTroll,IRAhandle_tweets_4.csv,Society & Health,"['\\bschool\\b', '\\bstudents\\b', '\\bteachers\\b']","['\\bschool\\b', '\\bstudents\\b', '\\bteachers\\b']",[],[],30,,,
RT ama_media: No evidence to suggest children raised in same-sex parented families suffer poorer health outcomes #MarriageEquality …,RT ama_media: No evidence to suggest children raised in same-sex parented families suffer poorer health outcomes #MarriageEquality …,Right,RightTroll,IRAhandle_tweets_1.csv,Society & Health,"['\\bhealth\\b', '\\bchildren\\b', '\\bfamilies\\b']","['\\bhealth\\b', '\\bchildren\\b', '\\bfamilies\\b']",[],[],30,,,
"Middle school PE teacher, 40, arrested for sex romp with teen boy student via the FoxNews app https://t.co/kYUqusn9sZ","Middle school PE teacher, 40, arrested for sex romp with teen boy student via the FoxNews app",Right,RightTroll,IRAhandle_tweets_3.csv,Society & Health,"['\\bschool\\b', '\\bstudent\\b', '\\bteacher\\b']","['\\bschool\\b', '\\bstudent\\b', '\\bteacher\\b']",[],[],30,,,
Attack on school in Sweden in which a student and a teacher were killed was motivated by racism  #refugeeswelcome?,Attack on school in Sweden in which a student and a teacher were killed was motivated by racism #refugeeswelcome?,Right,RightTroll,IRAhandle_tweets_4.csv,Society & Health,"['\\bschool\\b', '\\bstudent\\b', '\\bteacher\\b']","['\\bschool\\b', '\\bstudent\\b', '\\bteacher\\b']",[],[],30,,,
"Students, teachers, alumni from Cleveland Heights' Fairfax Elementary School 'come to the cabaret' #news https://t.co/c1mvocWWRB","Students, teachers, alumni from Cleveland Heights' Fairfax Elementary School 'come to the cabaret' #news",local,NewsFeed,IRAhandle_tweets_6.csv,Society & Health,"['\\bschool\\b', '\\bstudents\\b', '\\bteachers\\b']","['\\bschool\\b', '\\bstudents\\b', '\\bteachers\\b']",[],[],30,,,
Herndon community covers student's hospital bill https://t.co/q7s6mBGe3U https://t.co/Oc451RdcdU,Herndon community covers student's hospital bill,left,LeftTroll,IRAhandle_tweets_4.csv,Society & Health,"['\\bhospital\\b', '\\bstudent\\b', '\\bcommunity\\b']","['\\bhospital\\b', '\\bstudent\\b', '\\bcommunity\\b']",[],[],30,,,
High school student in Concord arrested for assaulting teacher https://t.co/5zWoDokZ2X,High school student in Concord arrested for assaulting teacher,local,NewsFeed,IRAhandle_tweets_2.csv,Society & Health,"['\\bschool\\b', '\\bstudent\\b', '\\bteacher\\b']","['\\bschool\\b', '\\bstudent\\b', '\\bteacher\\b']",[],[],30,,,
Charter Schools Accuse San Jose Unified School District of Trying to Poach Prospective Teachers https://t.co/u6JSapHAYL https://t.co/FFGszCk6LT,Charter Schools Accuse San Jose Unified School District of Trying to Poach Prospective Teachers,local,NewsFeed,IRAhandle_tweets_2.csv,Society & Health,"['\\bschool\\b', '\\bschools\\b', '\\bteachers\\b']","['\\bschool\\b', '\\bschools\\b', '\\bteachers\\b']",[],[],30,,,
"These Kids, 8 & 4, Were Abused And Beaten By School Teachers’ Children  https://t.co/moEWLlISfu","These Kids, 8 & 4, Were Abused And Beaten By School Teachers’ Children",left,LeftTroll,IRAhandle_tweets_1.csv,Society & Health,"['\\bschool\\b', '\\bteachers\\b', '\\bchildren\\b']","['\\bschool\\b', '\\bteachers\\b', '\\bchildren\\b']",[],[],30,,,
"This teacher raised $80,000 to give each student in her school a new bike. https://t.co/O3L5XQ1p64","This teacher raised $80,000 to give each student in her school a new bike.",left,LeftTroll,IRAhandle_tweets_2.csv,Society & Health,"['\\bschool\\b', '\\bstudent\\b', '\\bteacher\\b']","['\\bschool\\b', '\\bstudent\\b', '\\bteacher\\b']",[],[],30,,,
Scientists: Cloned Zika virus a step toward vaccine  #health,Scientists: Cloned Zika virus a step toward vaccine #health,local,NewsFeed,IRAhandle_tweets_5.csv,Society & Health,"['\\bhealth\\b', '\\bvirus\\b', '\\bvaccine\\b']","['\\bhealth\\b', '\\bvirus\\b', '\\bvaccine\\b']",[],[],30,,,
"Student, teacher reunite after kidney transplant  #health","Student, teacher reunite after kidney transplant #health",local,NewsFeed,IRAhandle_tweets_5.csv,Society & Health,"['\\bhealth\\b', '\\bstudent\\b', '\\bteacher\\b']","['\\bhealth\\b', '\\bstudent\\b', '\\bteacher\\b']",[],[],30,,,
I SO ADMIRE HIM! Latino Student Takes Trump-Hating Teacher To School In Textbook Beatdown! https://t.co/Ls3bt7R8uc via @WayneDupreeShow,I SO ADMIRE HIM! Latino Student Takes Trump-Hating Teacher To School In Textbook Beatdown! via,Right,RightTroll,IRAhandle_tweets_2.csv,Society & Health,"['\\bschool\\b', '\\bstudent\\b', '\\bteacher\\b']","['\\bschool\\b', '\\bstudent\\b', '\\bteacher\\b']",[],[],30,,,
NEW #Veritas #education video: #TeachersUnion lawyer brags about teacher FORCING oral sex w/ student at knife-point. https://t.co/Obvfr59LjL https://t.co/408v0jVx80,NEW #Veritas #education video: #TeachersUnion lawyer brags about teacher FORCING oral sex w/ student at knife-point.,Right,RightTroll,IRAhandle_tweets_1.csv,Society & Health,"['\\bstudent\\b', '\\bteacher\\b', '\\beducation\\b']","['\\bstudent\\b', '\\bteacher\\b', '\\beducation\\b']",[],[],30,,,
California governor signs bill limiting school vaccine exemptions  #health,California governor signs bill limiting school vaccine exemptions #health,news,NewsFeed,IRAhandle_tweets_6.csv,Society & Health,"['\\bhealth\\b', '\\bvaccine\\b', '\\bschool\\b']","['\\bhealth\\b', '\\bvaccine\\b', '\\bschool\\b']",[],[],30,,,
Suburban Columbus public school teachers concerned by Trump's education plan: Ohio Matters https://t.co/GFWSmmdR4P https://t.co/GuWGK4gTdQ,Suburban Columbus public school teachers concerned by Trump's education plan: Ohio Matters,local,NewsFeed,IRAhandle_tweets_6.csv,Society & Health,"['\\bschool\\b', '\\bteachers\\b', '\\beducation\\b']","['\\bschool\\b', '\\bteachers\\b', '\\beducation\\b']",[],[],30,,,
Millbrae middle school teacher pleads not guilty to lewd conduct with former student https://t.co/ffRH62O1iC,Millbrae middle school teacher pleads not guilty to lewd conduct with former student,local,NewsFeed,IRAhandle_tweets_2.csv,Society & Health,"['\\bschool\\b', '\\bstudent\\b', '\\bteacher\\b']","['\\bschool\\b', '\\bstudent\\b', '\\bteacher\\b']",[],[],30,,,
"Woman, two children taken to hospital after school bus accident https://t.co/KC7AEEL2Lx","Woman, two children taken to hospital after school bus accident",local,NewsFeed,IRAhandle_tweets_4.csv,Society & Health,"['\\bhospital\\b', '\\bschool\\b', '\\bchildren\\b']","['\\bhospital\\b', '\\bschool\\b', '\\bchildren\\b']",[],[],30,,,
"Teachers, students turn leftover bread to croutons for St. Jude Children’s Hospital https://t.co/llSyWvffJM https://t.co/LcWDOyenJo","Teachers, students turn leftover bread to croutons for St. Jude Children’s Hospital",local,NewsFeed,IRAhandle_tweets_8.csv,Society & Health,"['\\bhospital\\b', '\\bstudents\\b', '\\bteachers\\b', '\\bchildren\\b']","['\\bhospital\\b', '\\bstudents\\b', '\\bteachers\\b', '\\bchildren\\b']",[],[],40,,,
#politics San Jose: Stomach flu hits 90 students at Horace Mann Elementary School,#politics San Jose: Stomach flu hits 90 students at Horace Mann Elementary School,local,NewsFeed,IRAhandle_tweets_2.csv,Society & Health,"['\\bflu\\b', '\\bschool\\b', '\\bstudents\\b']","['\\bflu\\b', '\\bschool\\b', '\\bstudents\\b']",[],[],30,,,
Students Organize Mental Health Week at Md. High School https://t.co/WQpKPcvbob https://t.co/mLTwqThRvr,Students Organize Mental Health Week at Md. High School,local,NewsFeed,IRAhandle_tweets_8.csv,Society & Health,"['\\bhealth\\b', '\\bschool\\b', '\\bstudents\\b', '\\bmental health\\b']","['\\bhealth\\b', '\\bschool\\b', '\\bstudents\\b']",['\\bmental health\\b'],[],32,,,
A hospital ethics panel - NOT the patient or family - decides whether to end care #health   https://t.co/H80Av4G4SH https://t.co/N6DksEfz87,A hospital ethics panel - NOT the patient or family - decides whether to end care #health,local,NewsFeed,IRAhandle_tweets_4.csv,Society & Health,"['\\bhealth\\b', '\\bhospital\\b', '\\bfamily\\b', '\\bcare\\b']","['\\bhealth\\b', '\\bhospital\\b', '\\bfamily\\b']",['\\bcare\\b'],[],32,,,
this is who we allow to teach our children Maryland teacher disciplined after photos reveal she used black students as props for her Humor https://t.co/gF5AWEVVCr,this is who we allow to teach our children Maryland teacher disciplined after photos reveal she used black students as props for her Humor,left,LeftTroll,IRAhandle_tweets_4.csv,Society & Health,"['\\bstudents\\b', '\\bteacher\\b', '\\bchildren\\b']","['\\bstudents\\b', '\\bteacher\\b', '\\bchildren\\b']",[],[],30,,,
Female teacher at all-girls Catholic school in Alhambra accused of sexual relationship with student https://t.co/gQxJqYgKbl https://t.co/2gYvhgqaLF,Female teacher at all-girls Catholic school in Alhambra accused of sexual relationship with student,local,NewsFeed,IRAhandle_tweets_2.csv,Society & Health,"['\\bschool\\b', '\\bstudent\\b', '\\bteacher\\b']","['\\bschool\\b', '\\bstudent\\b', '\\bteacher\\b']",[],[],30,,,
"This is Jesse Davidson, 53 years old history teacher in Dalton High School beloved by students. He barricaded himself in the classroom and fired a shot. Luckily nobody was hurt and he was detained swiftly but this demonstrates how arming teachers is hardly sane idea. #GunControl https://t.co/bagOKqi8c3","This is Jesse Davidson, 53 years old history teacher in Dalton High School beloved by students. He barricaded himself in the classroom and fired a shot. Luckily nobody was hurt and he was detained swiftly but this demonstrates how arming teachers is hardly sane idea. #GunControl",left,LeftTroll,IRAhandle_tweets_3.csv,Society & Health,"['\\bschool\\b', '\\bstudents\\b', '\\bteacher\\b', '\\bteachers\\b']","['\\bschool\\b', '\\bstudents\\b', '\\bteacher\\b', '\\bteachers\\b']",[],[],40,,,
8 get rabies shots after student brings bat to school  #health,8 get rabies shots after student brings bat to school #health,Right,RightTroll,IRAhandle_tweets_2.csv,Society & Health,"['\\bhealth\\b', '\\bschool\\b', '\\bstudent\\b']","['\\bhealth\\b', '\\bschool\\b', '\\bstudent\\b']",[],[],30,,,
"Yeah, and you public school teachers are currently failing MILLIONS of children around the country so..@EracaJennifer @CNNPolitics","Yeah, and you public school teachers are currently failing MILLIONS of children around the country so..",Right,RightTroll,IRAhandle_tweets_1.csv,Society & Health,"['\\bschool\\b', '\\bteachers\\b', '\\bchildren\\b']","['\\bschool\\b', '\\bteachers\\b', '\\bchildren\\b']",[],[],30,,,
"Do you think Black students are welcome at schools?  RT, check: https://t.co/LP7w87QNit #Education https://t.co/oiz0wYrGYS","Do you think Black students are welcome at schools? RT, check: #Education",left,LeftTroll,IRAhandle_tweets_1.csv,Society & Health,"['\\bschools\\b', '\\bstudents\\b', '\\beducation\\b']","['\\bschools\\b', '\\bstudents\\b', '\\beducation\\b']",[],[],30,,,
Students Raise Cash For Family's After Teacher Loses Sister https://t.co/4hI3t7fLMo https://t.co/Ro2SrD8RoM,Students Raise Cash For Family's After Teacher Loses Sister,local,NewsFeed,IRAhandle_tweets_2.csv,Society & Health,"['\\bstudents\\b', '\\bteacher\\b', '\\bfamily\\b']","['\\bstudents\\b', '\\bteacher\\b', '\\bfamily\\b']",[],[],30,,,
A Wesley Chapel High School teacher accused of threatening black students.  https://t.co/HftxGH378p https://t.co/Lk6x2UwOw1,A Wesley Chapel High School teacher accused of threatening black students.,left,LeftTroll,IRAhandle_tweets_1.csv,Society & Health,"['\\bschool\\b', '\\bstudents\\b', '\\bteacher\\b']","['\\bschool\\b', '\\bstudents\\b', '\\bteacher\\b']",[],[],30,,,
"FYI:  This is a GraveYard at an Indian Boarding School &amp; Yes, it was the Children that were Buried.  Schools Should NEVER HAVE GRAVEYARDS. https://t.co/Y7lcvzLH7F","FYI: This is a GraveYard at an Indian Boarding School and Yes, it was the Children that were Buried. Schools Should NEVER HAVE GRAVEYARDS.",left,LeftTroll,IRAhandle_tweets_6.csv,Society & Health,"['\\bschool\\b', '\\bschools\\b', '\\bchildren\\b']","['\\bschool\\b', '\\bschools\\b', '\\bchildren\\b']",[],[],30,,,
School bus crash sends 2 children to hospital https://t.co/vbIHZzGy63 https://t.co/SuO2qPbT4h,School bus crash sends 2 children to hospital,local,NewsFeed,IRAhandle_tweets_1.csv,Society & Health,"['\\bhospital\\b', '\\bschool\\b', '\\bchildren\\b']","['\\bhospital\\b', '\\bschool\\b', '\\bchildren\\b']",[],[],30,,,
Education on #BlackLivesMatter for School Students https://t.co/WlUOK5RfkH,Education on #BlackLivesMatter for School Students,left,LeftTroll,IRAhandle_tweets_1.csv,Society & Health,"['\\bschool\\b', '\\bstudents\\b', '\\beducation\\b']","['\\bschool\\b', '\\bstudents\\b', '\\beducation\\b']",[],[],30,,,
"Assistant teacher assaults student at east Baltimore school, parents say https://t.co/eyweUIUdml https://t.co/H4zxEo36w1","Assistant teacher assaults student at east Baltimore school, parents say",local,NewsFeed,IRAhandle_tweets_1.csv,Society & Health,"['\\bschool\\b', '\\bstudent\\b', '\\bteacher\\b']","['\\bschool\\b', '\\bstudent\\b', '\\bteacher\\b']",[],[],30,,,
"Education conference to push goals for improving schools, student development https://t.co/J03prWjbYp #news","Education conference to push goals for improving schools, student development #news",local,NewsFeed,IRAhandle_tweets_4.csv,Society & Health,"['\\bschools\\b', '\\bstudent\\b', '\\beducation\\b']","['\\bschools\\b', '\\bstudent\\b', '\\beducation\\b']",[],[],30,,,
"Marjory Stoneman Douglas student at the #MarchForOurLives rally in Parkland: ""Because of you, the students, my future kids will have the opportunity to go to school to learn and not live in fear."" https://t.co/xv0gtGbpzQ","Marjory Stoneman Douglas student at the #MarchForOurLives rally in Parkland: ""Because of you, the students, my future kids will have the opportunity to go to school to learn and not live in fear.""",left,LeftTroll,IRAhandle_tweets_4.csv,Society & Health,"['\\bschool\\b', '\\bstudent\\b', '\\bstudents\\b']","['\\bschool\\b', '\\bstudent\\b', '\\bstudents\\b']",[],[],30,,,
This cool Black teacher remixed the lyrics to “Bad &amp; Boujee” to teach his students about the Civil War Need more people like him in schools! https://t.co/aIHkIG21Us,This cool Black teacher remixed the lyrics to “Bad and Boujee” to teach his students about the Civil War Need more people like him in schools!,left,LeftTroll,IRAhandle_tweets_2.csv,Society & Health,"['\\bschools\\b', '\\bstudents\\b', '\\bteacher\\b']","['\\bschools\\b', '\\bstudents\\b', '\\bteacher\\b']",[],[],30,,,
"Santa Fe High School student: “It’s been happening everywhere. I’ve always felt it would eventually happen here, too.”  This is unacceptable! They are children! We need common sense #GunControl now! https://t.co/kAL8FFVlGY","Santa Fe High School student: “It’s been happening everywhere. I’ve always felt it would eventually happen here, too.” This is unacceptable! They are children! We need common sense #GunControl now!",left,LeftTroll,IRAhandle_tweets_4.csv,Society & Health,"['\\bschool\\b', '\\bstudent\\b', '\\bchildren\\b']","['\\bschool\\b', '\\bstudent\\b', '\\bchildren\\b']",[],[],30,,,
"This teacher is going viral for his fun, unique way to get students excited about school https://t.co/SIuhYkrzqu","This teacher is going viral for his fun, unique way to get students excited about school",left,LeftTroll,IRAhandle_tweets_3.csv,Society & Health,"['\\bschool\\b', '\\bstudents\\b', '\\bteacher\\b']","['\\bschool\\b', '\\bstudents\\b', '\\bteacher\\b']",[],[],30,,,
FBI investigating computer virus causing major outages at large hospital chain Medstar Health  #news,FBI investigating computer virus causing major outages at large hospital chain Medstar Health #news,local,NewsFeed,IRAhandle_tweets_2.csv,Society & Health,"['\\bhealth\\b', '\\bhospital\\b', '\\bvirus\\b']","['\\bhealth\\b', '\\bhospital\\b', '\\bvirus\\b']",[],[],30,,,
2 Hayden High School students taken to hospital after crash https://t.co/1Vh6LrViTQ https://t.co/uV43Un0lMS,2 Hayden High School students taken to hospital after crash,local,NewsFeed,IRAhandle_tweets_4.csv,Society & Health,"['\\bhospital\\b', '\\bschool\\b', '\\bstudents\\b']","['\\bhospital\\b', '\\bschool\\b', '\\bstudents\\b']",[],[],30,,,
Florida school district set to “take appropriate” action after elementary school teacher calls Black students “rats” https://t.co/5JOtu0nSl2,Florida school district set to “take appropriate” action after elementary school teacher calls Black students “rats”,left,LeftTroll,IRAhandle_tweets_1.csv,Society & Health,"['\\bschool\\b', '\\bstudents\\b', '\\bteacher\\b']","['\\bschool\\b', '\\bstudents\\b', '\\bteacher\\b']",[],[],30,,,
Family sues school district after teacher caught dragging boy with special needs https://t.co/OOCJmd01De https://t.co/Wm0LT4G6QP,Family sues school district after teacher caught dragging boy with special needs,local,NewsFeed,IRAhandle_tweets_6.csv,Society & Health,"['\\bschool\\b', '\\bteacher\\b', '\\bfamily\\b']","['\\bschool\\b', '\\bteacher\\b', '\\bfamily\\b']",[],[],30,,,
"After China vaccine scare, Hong Kong to limit inoculations for non-resident children  #health","After China vaccine scare, Hong Kong to limit inoculations for non-resident children #health",news,NewsFeed,IRAhandle_tweets_6.csv,Society & Health,"['\\bhealth\\b', '\\bvaccine\\b', '\\bchildren\\b']","['\\bhealth\\b', '\\bvaccine\\b', '\\bchildren\\b']",[],[],30,,,
"2 Students, 1 Teacher Wounded In South Carolina School Shooting https://t.co/2iGQHadOyv","2 Students, 1 Teacher Wounded In South Carolina School Shooting",local,NewsFeed,IRAhandle_tweets_2.csv,Society & Health,"['\\bschool\\b', '\\bstudents\\b', '\\bteacher\\b']","['\\bschool\\b', '\\bstudents\\b', '\\bteacher\\b']",[],[],30,,,
#health Vaccine bill: Assemblyman Jim Patterson says unvaccinated children will feel like they're in 'internment camps',#health Vaccine bill: Assemblyman Jim Patterson says unvaccinated children will feel like they're in 'internment camps',Right,RightTroll,IRAhandle_tweets_2.csv,Society & Health,"['\\bhealth\\b', '\\bvaccine\\b', '\\bchildren\\b']","['\\bhealth\\b', '\\bvaccine\\b', '\\bchildren\\b']",[],[],30,,,
"""Parents and teachers rally for public education funding at schools across the country"" #EdWalk #ReclaimOurSchools https://t.co/279eHX6kfr https://t.co/cWOUewaxJU","""Parents and teachers rally for public education funding at schools across the country"" #EdWalk #ReclaimOurSchools",left,LeftTroll,IRAhandle_tweets_3.csv,Society & Health,"['\\bschools\\b', '\\bteachers\\b', '\\beducation\\b']","['\\bschools\\b', '\\bteachers\\b', '\\beducation\\b']",[],[],30,,,
#Hero4MentalHealth Let's end the the shame and support early mental health education in the schools.,#Hero4MentalHealth Let's end the the shame and support early mental health education in the schools.,left,LeftTroll,IRAhandle_tweets_4.csv,Society & Health,"['\\bhealth\\b', '\\bschools\\b', '\\beducation\\b', '\\bmental health\\b']","['\\bhealth\\b', '\\bschools\\b', '\\beducation\\b']",['\\bmental health\\b'],[],32,,,
"Ingraham: “Unemployment is down, blue-collar wages are rising, the stock market is booming, all because ‘America First’ policies do work.” #IngrahamAngle https://t.co/bdHkfqxV3A","Ingraham: “Unemployment is down, blue-collar wages are rising, the stock market is booming, all because ‘America First’ policies do work.” #IngrahamAngle",Right,RightTroll,IRAhandle_tweets_2.csv,Economy & Business,"['\\bmarket\\b', '\\bunemployment\\b', '\\bstock\\b']","['\\bmarket\\b', '\\bunemployment\\b']",['\\bstock\\b'],[],22,,,
"RT ShorayW: polNewsForever stonewall_sue Media is silence on job growth, stock market, reduced boarder crossings, … https://t.co/NF0bTt0bvV","RT ShorayW: polNewsForever stonewall_sue Media is silence on job growth, stock market, reduced boarder crossings, …",Right,RightTroll,IRAhandle_tweets_3.csv,Economy & Business,"['\\bmarket\\b', '\\bjob\\b', '\\bstock\\b']","['\\bmarket\\b', '\\bjob\\b']",['\\bstock\\b'],[],22,,,
"Economy added 211,000 jobs in April; unemployment dips to 10-year low https://t.co/L4URcJuurp","Economy added 211,000 jobs in April; unemployment dips to 10-year low",Right,RightTroll,IRAhandle_tweets_8.csv,Economy & Business,"['\\beconomy\\b', '\\bjobs\\b', '\\bunemployment\\b']","['\\beconomy\\b', '\\bjobs\\b', '\\bunemployment\\b']",[],[],30,,,
South Bay job market and economy remain solid https://t.co/zuIX6utIkR #business,South Bay job market and economy remain solid #business,local,NewsFeed,IRAhandle_tweets_6.csv,Economy & Business,"['\\beconomy\\b', '\\bbusiness\\b', '\\bmarket\\b', '\\bjob\\b']","['\\beconomy\\b', '\\bbusiness\\b', '\\bmarket\\b', '\\bjob\\b']",[],[],40,,,
Markets Right Now: European stocks rise despite Asian drop  #business,Markets Right Now: European stocks rise despite Asian drop #business,local,NewsFeed,IRAhandle_tweets_2.csv,Economy & Business,"['\\bbusiness\\b', '\\bmarkets\\b', '\\bstocks\\b']","['\\bbusiness\\b', '\\bmarkets\\b']",['\\bstocks\\b'],[],22,,,
"Stock market posts meager gains, led by energy companies  #business","Stock market posts meager gains, led by energy companies #business",local,NewsFeed,IRAhandle_tweets_2.csv,Economy & Business,"['\\bbusiness\\b', '\\bmarket\\b', '\\bstock\\b']","['\\bbusiness\\b', '\\bmarket\\b']",['\\bstock\\b'],[],22,,,
"RT IvankaTrump: Since realDonaldTrump inauguration, over 1 million net new jobs have been created in the American economy! #MAGA","RT IvankaTrump: Since realDonaldTrump inauguration, over 1 million net new jobs have been created in the American economy! #MAGA",Right,RightTroll,IRAhandle_tweets_2.csv,Economy & Business,"['\\beconomy\\b', '\\bjobs\\b', '\\bmillion\\b']","['\\beconomy\\b', '\\bjobs\\b']",['\\bmillion\\b'],[],22,,,
U.S. solar jobs swell 20% as credits and prices spur demand https://t.co/bsMuld1KRS #business,U.S. solar jobs swell 20% as credits and prices spur demand #business,local,NewsFeed,IRAhandle_tweets_6.csv,Economy & Business,"['\\bbusiness\\b', '\\bjobs\\b', '\\bprices\\b']","['\\bbusiness\\b', '\\bjobs\\b', '\\bprices\\b']",[],[],30,,,
"313,000 jobs added to the economy in February 2018, crushing expectations AND drawing hundreds of thousands into the job market #MAGA","313,000 jobs added to the economy in February 2018, crushing expectations AND drawing hundreds of thousands into the job market #MAGA",Right,RightTroll,IRAhandle_tweets_4.csv,Economy & Business,"['\\beconomy\\b', '\\bmarket\\b', '\\bjobs\\b', '\\bjob\\b']","['\\beconomy\\b', '\\bmarket\\b', '\\bjobs\\b', '\\bjob\\b']",[],[],40,,,
GLOBAL MARKETS-Yen jumps as BoJ holds off easing; oil prices drop: * Banks lead European stoc... https://t.co/9OKpjrBLZC via @josephjett,GLOBAL MARKETS-Yen jumps as BoJ holds off easing; oil prices drop: * Banks lead European stoc... via,left,LeftTroll,IRAhandle_tweets_1.csv,Economy & Business,"['\\bmarkets\\b', '\\bprices\\b', '\\bbanks\\b']","['\\bmarkets\\b', '\\bprices\\b']",['\\bbanks\\b'],[],22,,,
Asia stock markets climb as investors mull Japan data  #business,Asia stock markets climb as investors mull Japan data #business,local,NewsFeed,IRAhandle_tweets_2.csv,Economy & Business,"['\\bbusiness\\b', '\\bmarkets\\b', '\\bstock\\b']","['\\bbusiness\\b', '\\bmarkets\\b']",['\\bstock\\b'],[],22,,,
Emirates airline says profits are up amid lower oil prices  #business,Emirates airline says profits are up amid lower oil prices #business,local,NewsFeed,IRAhandle_tweets_2.csv,Economy & Business,"['\\bbusiness\\b', '\\bprofits\\b', '\\bprices\\b']","['\\bbusiness\\b', '\\bprofits\\b', '\\bprices\\b']",[],[],30,,,
